cell_label	Estimated_class	Prob	Best_class	Actual_class	Actual==Best_class	top5_genes	top5_gene_counts	closest_cell_labels	closest_cell_classes	dist
12	['053 Sst Gaba']	[1.0]	053 Sst Gaba	045 OB-STR-CTX Inh IMN	False	['Cdh9', 'Serpini1', 'Cnr1', 'Scg2', 'Col25a1']	[8.239, 12.439, 7.69, 5.369, 4.159]	[19, 5, 11, 13, 6, 4]	['005 L5 IT CTX Glut', '329 ABC NN', '053 Sst Gaba', '032 L5 NP CTX Glut', '052 Pvalb Gaba', '047 Sncg Gaba']	[36.06, 36.06, 36.22, 37.64, 51.88, 52.31]
23	['038 DG-PIR Ex IMN', '326 OPC NN']	[0.988, 0.012]	038 DG-PIR Ex IMN	319 Astro-TE NN	False	['Cnr1', 'Rab3c', 'Bcl11b', 'Tafa1', 'Gad1']	[15.439, 8.35, 4.92, 6.92, 5.88]	[24, 16, 30, 22, 15, 29]	['336 Monocytes NN', '048 RHP-COA Ndnf Gaba', '330 VLMC NN', '016 CA1-ProS Glut', '326 OPC NN', '007 L2/3 IT CTX Glut']	[36.5, 36.67, 36.88, 37.95, 50.95, 51.39]
24	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	336 Monocytes NN	False	['Slc6a1', 'Pcp4', 'Bcl11b', 'Tafa1', 'Zbtb20']	[20.229, 15.75, 6.639, 6.219, 21.059]	[23, 31, 25, 17, 30, 32]	['319 Astro-TE NN', '025 CA2-FC-IG Glut', '029 L6b CTX Glut', '050 Lamp5 Lhx6 Gaba', '330 VLMC NN', '331 Peri NN']	[36.5, 38.28, 40.25, 42.72, 50.95, 51.07]
5	['046 Vip Gaba']	[1.0]	046 Vip Gaba	335 BAM NN	False	['Cnr1', 'Npy', 'Reln', 'Kcnd3', 'Rab3c']	[24.43, 14.229, 10.069, 9.3, 10.289]	[6, 4, 12, 11, 13, 3]	['032 L5 NP CTX Glut', '049 Lamp5 Gaba', '045 OB-STR-CTX Inh IMN', '048 RHP-COA Ndnf Gaba', '047 Sncg Gaba', '337 DC NN']	[36.88, 37.64, 41.18, 50.95, 51.16, 72.25]
12	['048 RHP-COA Ndnf Gaba']	[1.0]	048 RHP-COA Ndnf Gaba	045 OB-STR-CTX Inh IMN	False	['Cnr1', 'Col25a1', 'Reln', 'Cck', 'Npy']	[41.849, 12.81, 16.1, 9.64, 7.98]	[19, 11, 5, 13, 18, 20]	['022 L5 ET CTX Glut', '048 RHP-COA Ndnf Gaba', '335 BAM NN', '047 Sncg Gaba', '051 Pvalb chandelier Gaba', '038 DG-PIR Ex IMN']	[36.0, 40.25, 41.18, 43.83, 51.07, 51.39]
18	['052 Pvalb Gaba']	[1.0]	052 Pvalb Gaba	051 Pvalb chandelier Gaba	False	['Cnr1', 'Pde1a', 'Synpr', 'Gda', 'Ntng1']	[24.61, 12.289, 4.989, 5.28, 3.819]	[19, 17, 11, 25, 24, 12]	['022 L5 ET CTX Glut', '330 VLMC NN', '048 RHP-COA Ndnf Gaba', '025 CA2-FC-IG Glut', '017 CA3 Glut', '045 OB-STR-CTX Inh IMN']	[36.22, 36.5, 38.63, 39.81, 50.92, 51.07]
20	['046 Vip Gaba']	[1.0]	046 Vip Gaba	038 DG-PIR Ex IMN	False	['Grik1', 'Gad2', 'Slc32a1', 'Cnr1', 'Hapln1']	[32.799, 13.5, 7.019, 20.219, 6.239]	[21, 27, 19, 13, 14, 26]	['050 Lamp5 Lhx6 Gaba', '331 Peri NN', '022 L5 ET CTX Glut', '047 Sncg Gaba', '334 Microglia NN', '037 DG Glut']	[36.05, 36.22, 36.67, 40.25, 50.95, 51.07]
23	['053 Sst Gaba']	[1.0]	053 Sst Gaba	326 OPC NN	False	['Sst', 'Col25a1', 'Npy', 'Gad2', 'Nrgn']	[39.34, 21.489, 15.039, 11.6, 46.9]	[24, 22, 16, 30, 29, 15]	['017 CA3 Glut', '056 Sst Chodl Gaba', '053 Sst Gaba', '052 Pvalb Gaba', '332 SMC NN', '005 L5 IT CTX Glut']	[36.12, 36.35, 38.28, 42.72, 50.91, 50.95]
27	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	331 Peri NN	False	['C1ql3', 'Synpr', 'Snca', 'Meis2', 'Grik1']	[10.739, 7.119, 10.159, 4.949, 8.239]	[20, 26, 28, 34, 19, 21]	['038 DG-PIR Ex IMN', '037 DG Glut', '030 L6 CT CTX Glut', '046 Vip Gaba', '022 L5 ET CTX Glut', '050 Lamp5 Lhx6 Gaba']	[36.22, 36.88, 41.18, 45.61, 51.0, 51.26]
31	['326 OPC NN']	[1.0]	326 OPC NN	319 Astro-TE NN	False	['Plp1', 'Tafa1', 'Pde1a', 'Nxph1', 'Rab3c']	[64.629, 13.739, 11.89, 8.529, 12.85]	[38, 24, 32, 30, 37, 23]	['007 L2/3 IT CTX Glut', '017 CA3 Glut', '327 Oligo NN', '052 Pvalb Gaba', '338 Lymphoid NN', '326 OPC NN']	[36.0, 36.12, 37.64, 39.81, 51.16, 51.26]
33	['338 Lymphoid NN', '336 Monocytes NN', '337 DC NN']	[0.997, 0.001, 0.001]	338 Lymphoid NN	336 Monocytes NN	False	['Zbtb20', 'Plp1', 'Rras2', 'Pcp4', 'Stmn1']	[21.889, 45.86, 2.069, 2.839, 1.95]	[26, 32, 34, 27, 25, 19]	['037 DG Glut', '327 Oligo NN', '046 Vip Gaba', '331 Peri NN', '025 CA2-FC-IG Glut', '022 L5 ET CTX Glut']	[39.0, 42.72, 50.21, 51.39, 56.72, 72.11]
37	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	338 Lymphoid NN	False	['Rab3c', 'Tafa1', 'Cdh13', 'Cdh9', 'Slc6a1']	[8.68, 5.92, 5.73, 3.46, 4.57]	[38, 36, 30, 31, 29, 23]	['007 L2/3 IT CTX Glut', '029 L6b CTX Glut', '052 Pvalb Gaba', '319 Astro-TE NN', '332 SMC NN', '326 OPC NN']	[36.35, 36.88, 37.95, 51.16, 52.09, 72.83]
13	['046 Vip Gaba']	[1.0]	046 Vip Gaba	038 DG-PIR Ex IMN	False	['Gad2', 'Reln', 'Cck', 'Cadps2', 'Npy']	[15.5, 11.81, 11.35, 11.34, 4.619]	[6, 20, 14, 12, 5, 7]	['017 CA3 Glut', '337 DC NN', '050 Lamp5 Lhx6 Gaba', '326 OPC NN', '047 Sncg Gaba', '036 HPF CR Glut']	[36.06, 36.88, 38.27, 46.23, 51.7, 51.88]
16	['017 CA3 Glut']	[1.0]	017 CA3 Glut	331 Peri NN	False	['Tafa1', 'Pcp4', 'Nrgn', 'Gda', 'Nrn1']	[22.68, 24.19, 44.99, 12.899, 12.06]	[15, 17, 23, 9, 8, 22]	['022 L5 ET CTX Glut', '006 L4/5 IT CTX Glut', '016 CA1-ProS Glut', '336 Monocytes NN', '037 DG Glut', '051 Pvalb chandelier Gaba']	[36.22, 36.35, 37.95, 38.63, 51.0, 51.26]
18	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	045 OB-STR-CTX Inh IMN	False	['Tafa1', 'Nrgn', 'Enc1', 'Cck', 'Pcp4']	[17.139, 8.779, 6.679, 11.229, 11.21]	[17, 25, 11, 19, 10, 26]	['006 L4/5 IT CTX Glut', '334 Microglia NN', '032 L5 NP CTX Glut', '007 L2/3 IT CTX Glut', '030 L6 CT CTX Glut', '005 L5 IT CTX Glut']	[36.22, 37.11, 38.63, 39.4, 52.55, 54.0]
20	['053 Sst Gaba']	[1.0]	053 Sst Gaba	337 DC NN	False	['Npy', 'Gad2', 'Nxph1', 'Crhbp', 'Col25a1']	[52.099, 43.08, 24.659, 15.409, 13.43]	[27, 21, 13, 19, 14, 28]	['056 Sst Chodl Gaba', '049 Lamp5 Gaba', '038 DG-PIR Ex IMN', '007 L2/3 IT CTX Glut', '050 Lamp5 Lhx6 Gaba', '029 L6b CTX Glut']	[36.12, 36.67, 36.88, 40.25, 51.16, 52.31]
28	['056 Sst Chodl Gaba']	[1.0]	056 Sst Chodl Gaba	029 L6b CTX Glut	False	['Npy', 'Gad2', 'Nos1', 'Crhbp', 'Grik1']	[50.68, 34.52, 22.45, 12.369, 14.42]	[27, 21, 35, 20, 34, 14]	['056 Sst Chodl Gaba', '049 Lamp5 Gaba', '046 Vip Gaba', '337 DC NN', '338 Lymphoid NN', '050 Lamp5 Lhx6 Gaba']	[37.11, 40.71, 49.52, 52.31, 56.72, 73.98]
34	['053 Sst Gaba']	[1.0]	053 Sst Gaba	338 Lymphoid NN	False	['Nxph1', 'Npy', 'Pde1a', 'Crhbp', 'Gad1']	[33.68, 33.99, 15.319, 11.699, 11.81]	[33, 35, 27, 26, 28, 20]	['052 Pvalb Gaba', '046 Vip Gaba', '056 Sst Chodl Gaba', '005 L5 IT CTX Glut', '029 L6b CTX Glut', '337 DC NN']	[36.35, 37.11, 39.4, 51.39, 56.72, 73.16]
5	['049 Lamp5 Gaba', '036 HPF CR Glut']	[0.501, 0.499]	049 Lamp5 Gaba	036 HPF CR Glut	False	['Slc6a1', 'Gad2', 'Snca', 'Gad1', 'Id2']	[28.899, 10.93, 8.38, 7.179, 13.779]	[12, 6, 4, 11, 13, 7]	['050 Lamp5 Lhx6 Gaba', '051 Pvalb chandelier Gaba', '004 L6 IT CTX Glut', '006 L4/5 IT CTX Glut', '338 Lymphoid NN', '049 Lamp5 Gaba']	[36.0, 40.71, 40.71, 50.95, 51.07, 72.17]
13	['050 Lamp5 Lhx6 Gaba']	[1.0]	050 Lamp5 Lhx6 Gaba	338 Lymphoid NN	False	['Nos1', 'Slc6a1', 'Npy', 'Gad1', 'Gad2']	[37.5, 44.099, 30.479, 25.629, 17.059]	[12, 14, 20, 6, 21, 7]	['050 Lamp5 Lhx6 Gaba', '332 SMC NN', '056 Sst Chodl Gaba', '051 Pvalb chandelier Gaba', '031 CT SUB Glut', '049 Lamp5 Gaba']	[36.22, 36.34, 37.11, 39.0, 50.91, 50.92]
18	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	045 OB-STR-CTX Inh IMN	False	['Nrgn', 'Snca', 'Cnr1', 'Cck', 'Cplx2']	[23.67, 6.829, 5.55, 8.85, 8.369]	[19, 11, 25, 17, 10, 24]	['336 Monocytes NN', '006 L4/5 IT CTX Glut', '047 Sncg Gaba', '030 L6 CT CTX Glut', '046 Vip Gaba', '334 Microglia NN']	[36.5, 42.19, 43.27, 45.0, 51.16, 51.26]
19	['046 Vip Gaba', '053 Sst Gaba']	[0.99, 0.01]	046 Vip Gaba	336 Monocytes NN	False	['Pcp4', 'Slc6a1', 'Nos1', 'Gad2', 'Npy']	[26.819, 18.819, 18.84, 11.239, 19.739]	[26, 20, 18, 12, 27, 13]	['331 Peri NN', '056 Sst Chodl Gaba', '045 OB-STR-CTX Inh IMN', '050 Lamp5 Lhx6 Gaba', '005 L5 IT CTX Glut', '338 Lymphoid NN']	[36.01, 36.01, 36.5, 38.63, 51.7, 51.88]
26	['046 Vip Gaba']	[1.0]	046 Vip Gaba	331 Peri NN	False	['Cnr1', 'Cplx2', 'Pcp4', 'Cadps2', 'Nos1']	[14.359, 24.579, 15.939, 11.34, 10.3]	[19, 33, 27, 25, 20, 32]	['336 Monocytes NN', '025 CA2-FC-IG Glut', '005 L5 IT CTX Glut', '047 Sncg Gaba', '056 Sst Chodl Gaba', '017 CA3 Glut']	[36.01, 36.22, 37.36, 39.81, 50.91, 50.92]
3	['326 OPC NN']	[0.999]	326 OPC NN	319 Astro-TE NN	False	['Pcp4', 'Snca', 'Pde1a', 'C1ql3', 'Tafa1']	[30.559, 13.439, 6.32, 5.76, 6.469]	[10, 2, 4, 9, 11, 5]	['004 L6 IT CTX Glut', '331 Peri NN', '025 CA2-FC-IG Glut', '051 Pvalb chandelier Gaba', '017 CA3 Glut', '327 Oligo NN']	[36.0, 36.01, 36.67, 52.31, 54.7, 74.22]
6	['045 OB-STR-CTX Inh IMN']	[1.0]	045 OB-STR-CTX Inh IMN	338 Lymphoid NN	False	['Gad1', 'Ntng1', 'Synpr', 'Slc6a1', 'Gad2']	[15.96, 12.22, 10.67, 10.63, 7.46]	[7, 13, 5, 14, 12, 20]	['333 Endo NN', '048 RHP-COA Ndnf Gaba', '327 Oligo NN', '053 Sst Gaba', '337 DC NN', '334 Microglia NN']	[36.22, 36.22, 36.5, 50.92, 50.92, 72.06]
12	['048 RHP-COA Ndnf Gaba', '049 Lamp5 Gaba']	[0.954, 0.045]	048 RHP-COA Ndnf Gaba	337 DC NN	False	['Slc6a1', 'Nnat', 'Reln', 'Gad2', 'Cplx2']	[18.12, 13.859, 9.689, 11.13, 16.61]	[13, 5, 11, 19, 6, 20]	['048 RHP-COA Ndnf Gaba', '327 Oligo NN', '017 CA3 Glut', '049 Lamp5 Gaba', '338 Lymphoid NN', '334 Microglia NN']	[36.12, 36.67, 37.11, 41.18, 50.92, 50.95]
20	['053 Sst Gaba']	[1.0]	053 Sst Gaba	334 Microglia NN	False	['Sst', 'Gad1', 'Gad2', 'Nxph1', 'Npy']	[32.36, 33.02, 24.36, 19.79, 16.75]	[13, 27, 21, 19, 26, 12]	['048 RHP-COA Ndnf Gaba', '056 Sst Chodl Gaba', '005 L5 IT CTX Glut', '049 Lamp5 Gaba', '006 L4/5 IT CTX Glut', '337 DC NN']	[36.01, 36.35, 37.36, 40.25, 50.91, 50.95]
21	['006 L4/5 IT CTX Glut', '005 L5 IT CTX Glut']	[0.971, 0.029]	006 L4/5 IT CTX Glut	005 L5 IT CTX Glut	False	['Calb1', 'Synpr', 'Grik1', 'Rasgrf2', 'Hs3st2']	[6.179, 4.139, 3.93, 5.84, 3.2]	[28, 14, 20, 27, 13, 35]	['052 Pvalb Gaba', '053 Sst Gaba', '334 Microglia NN', '056 Sst Chodl Gaba', '048 RHP-COA Ndnf Gaba', '007 L2/3 IT CTX Glut']	[36.22, 36.5, 37.36, 51.16, 52.09, 72.11]
23	['036 HPF CR Glut']	[1.0]	036 HPF CR Glut	336 Monocytes NN	False	['Reln', 'Pcp4', 'Slc6a1', 'Grik1', 'Id2']	[12.26, 5.21, 4.719, 8.01, 6.28]	[22, 30, 24, 16, 31, 15]	['050 Lamp5 Lhx6 Gaba', '335 BAM NN', '036 HPF CR Glut', '326 OPC NN', '022 L5 ET CTX Glut', '029 L6b CTX Glut']	[36.01, 36.35, 36.5, 39.0, 50.91, 51.16]
25	['007 L2/3 IT CTX Glut']	[1.0]	007 L2/3 IT CTX Glut	045 OB-STR-CTX Inh IMN	False	['Cck', 'Cnr1', 'Col25a1', 'Kctd12', 'Slc17a7']	[13.42, 12.93, 7.96, 7.63, 7.539]	[24, 26, 32, 18, 19, 31]	['036 HPF CR Glut', '006 L4/5 IT CTX Glut', '047 Sncg Gaba', '031 CT SUB Glut', '049 Lamp5 Gaba', '022 L5 ET CTX Glut']	[37.64, 39.0, 41.18, 44.41, 51.0, 53.67]
26	['005 L5 IT CTX Glut', '004 L6 IT CTX Glut']	[0.977, 0.023]	005 L5 IT CTX Glut	006 L4/5 IT CTX Glut	False	['Nos1', 'Nxph1', 'Sema5a', 'Bcl11b', 'Thsd7a']	[12.539, 14.43, 4.269, 3.47, 0.029]	[27, 33, 25, 19, 20, 32]	['056 Sst Chodl Gaba', '016 CA1-ProS Glut', '045 OB-STR-CTX Inh IMN', '049 Lamp5 Gaba', '334 Microglia NN', '047 Sncg Gaba']	[36.35, 37.11, 39.0, 40.25, 50.91, 51.16]
30	['337 DC NN', '335 BAM NN']	[0.993, 0.007]	337 DC NN	335 BAM NN	False	['Gda', 'Nrgn', 'Cd44', 'Ctsb', 'Cd63']	[4.94, 26.389, 2.13, 3.99, 0.0]	[31, 23, 37, 29, 36, 24]	['022 L5 ET CTX Glut', '336 Monocytes NN', '330 VLMC NN', '030 L6 CT CTX Glut', '032 L5 NP CTX Glut', '036 HPF CR Glut']	[36.35, 36.35, 40.25, 40.25, 50.92, 50.92]
9	['022 L5 ET CTX Glut']	[1.0]	022 L5 ET CTX Glut	031 CT SUB Glut	False	['Tafa1', 'Reln', 'Mgp', 'Npy', 'Ndnf']	[14.069, 5.269, 5.23, 8.96, 2.89]	[10, 16, 2, 8, 3, 1]	['022 L5 ET CTX Glut', '049 Lamp5 Gaba', '326 OPC NN', '329 ABC NN', '053 Sst Gaba', '052 Pvalb Gaba']	[36.22, 36.67, 39.0, 39.81, 50.95, 51.0]
18	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	045 OB-STR-CTX Inh IMN	False	['Cnr1', 'Nrgn', 'Neurod6', 'Nrn1', 'Pcp4']	[9.3, 8.699, 4.969, 5.719, 11.069]	[19, 25, 11, 17, 10, 24]	['337 DC NN', '319 Astro-TE NN', '006 L4/5 IT CTX Glut', '038 DG-PIR Ex IMN', '022 L5 ET CTX Glut', '005 L5 IT CTX Glut']	[36.22, 36.22, 36.35, 38.28, 51.07, 51.39]
19	['046 Vip Gaba']	[1.0]	046 Vip Gaba	337 DC NN	False	['Cnr1', 'Cadps2', 'Kcnip1', 'Pcp4', 'Cck']	[35.18, 13.399, 11.529, 15.3, 13.6]	[20, 18, 26, 12, 27, 25]	['338 Lymphoid NN', '045 OB-STR-CTX Inh IMN', '025 CA2-FC-IG Glut', '047 Sncg Gaba', '332 SMC NN', '319 Astro-TE NN']	[36.0, 36.22, 36.22, 36.5, 50.92, 51.54]
25	['056 Sst Chodl Gaba']	[0.999]	056 Sst Chodl Gaba	319 Astro-TE NN	False	['Npy', 'Sst', 'Pcp4', 'Col25a1', 'Slc32a1']	[34.11, 30.44, 32.36, 14.939, 8.52]	[24, 18, 32, 26, 19, 17]	['005 L5 IT CTX Glut', '045 OB-STR-CTX Inh IMN', '056 Sst Chodl Gaba', '025 CA2-FC-IG Glut', '337 DC NN', '038 DG-PIR Ex IMN']	[36.12, 36.22, 36.67, 37.95, 51.54, 53.67]
9	['006 L4/5 IT CTX Glut']	[1.0]	006 L4/5 IT CTX Glut	337 DC NN	False	['Pde1a', 'Col25a1', 'Satb1', 'Sv2b', 'Etv1']	[14.189, 10.529, 12.96, 14.43, 13.409]	[8, 16, 10, 2, 15, 17]	['007 L2/3 IT CTX Glut', '048 RHP-COA Ndnf Gaba', '032 L5 NP CTX Glut', '022 L5 ET CTX Glut', '030 L6 CT CTX Glut', '004 L6 IT CTX Glut']	[36.12, 36.35, 36.88, 38.63, 51.39, 53.37]
15	['031 CT SUB Glut', '030 L6 CT CTX Glut']	[0.96, 0.04]	031 CT SUB Glut	030 L6 CT CTX Glut	False	['Ntng1', 'Synpr', 'Rasgrf2', 'Igfbp5', 'Rgs12']	[10.02, 6.96, 5.4, 5.69, 1.789]	[22, 16, 8, 9, 23, 17]	['330 VLMC NN', '048 RHP-COA Ndnf Gaba', '007 L2/3 IT CTX Glut', '337 DC NN', '031 CT SUB Glut', '004 L6 IT CTX Glut']	[36.01, 36.06, 37.36, 51.39, 52.31, 72.56]
17	['005 L5 IT CTX Glut']	[1.0]	005 L5 IT CTX Glut	004 L6 IT CTX Glut	False	['Tshz2', 'Etv1', 'Kctd12', 'Nnat', 'Fezf2']	[5.019, 7.17, 5.599, 0.159, 2.009]	[18, 10, 16, 24, 25, 9]	['335 BAM NN', '032 L5 NP CTX Glut', '048 RHP-COA Ndnf Gaba', '029 L6b CTX Glut', '036 HPF CR Glut', '337 DC NN']	[36.22, 36.88, 37.64, 43.27, 51.88, 53.37]
18	['031 CT SUB Glut']	[1.0]	031 CT SUB Glut	335 BAM NN	False	['Slc17a7', 'Pcp4', 'Sv2b', 'Nrn1', 'Cck']	[14.979, 13.489, 7.369, 6.199, 8.84]	[17, 25, 19, 11, 26, 10]	['004 L6 IT CTX Glut', '036 HPF CR Glut', '326 OPC NN', '006 L4/5 IT CTX Glut', '017 CA3 Glut', '032 L5 NP CTX Glut']	[36.22, 36.5, 37.95, 41.68, 50.95, 51.07]
21	['327 Oligo NN']	[1.0]	327 Oligo NN	338 Lymphoid NN	False	['Plp1', 'Tspan2', 'Ptgds', 'Grik1', 'Glul']	[70.389, 8.119, 7.82, 5.92, 6.0]	[14, 28, 20, 27, 13, 35]	['331 Peri NN', '327 Oligo NN', '319 Astro-TE NN', '329 ABC NN', '049 Lamp5 Gaba', '050 Lamp5 Lhx6 Gaba']	[36.88, 38.28, 39.81, 51.16, 55.46, 73.55]
33	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	045 OB-STR-CTX Inh IMN	False	['Nrgn', 'Tafa1', 'Slc17a7', 'Snca', 'Crym']	[15.14, 12.449, 6.829, 5.28, 3.049]	[32, 26, 34, 25, 27, 35]	['332 SMC NN', '017 CA3 Glut', '336 Monocytes NN', '036 HPF CR Glut', '329 ABC NN', '050 Lamp5 Lhx6 Gaba']	[36.5, 36.67, 37.11, 50.92, 51.7, 72.83]
34	['337 DC NN']	[1.0]	337 DC NN	336 Monocytes NN	False	['Ptgds', 'Id2', 'Prkca', 'Gad2', 'Fn1']	[17.829, 5.769, 6.079, 10.42, 4.969]	[35, 33, 27, 26, 28, 20]	['050 Lamp5 Lhx6 Gaba', '045 OB-STR-CTX Inh IMN', '329 ABC NN', '017 CA3 Glut', '327 Oligo NN', '319 Astro-TE NN']	[36.05, 37.11, 40.25, 50.95, 57.17, 72.11]
36	['006 L4/5 IT CTX Glut', '005 L5 IT CTX Glut']	[0.764, 0.236]	006 L4/5 IT CTX Glut	005 L5 IT CTX Glut	False	['Calb1', 'Grik1', 'Cplx2', 'Cbln2', 'Nptx2']	[7.579, 8.359, 2.45, 0.0, 0.0]	[29, 37, 30, 38, 22, 31]	['052 Pvalb Gaba', '053 Sst Gaba', '016 CA1-ProS Glut', '025 CA2-FC-IG Glut', '330 VLMC NN', '037 DG Glut']	[36.67, 37.11, 52.54, 72.17, 74.73, 80.8]
12	['029 L6b CTX Glut']	[1.0]	029 L6b CTX Glut	030 L6 CT CTX Glut	False	['Sv2c', 'Nxph1', 'Kcnip1', 'Igfbp5', 'Rab3c']	[4.55, 7.82, 2.75, 6.32, 20.79]	[19, 13, 11, 5, 4, 6]	['049 Lamp5 Gaba', '029 L6b CTX Glut', '006 L4/5 IT CTX Glut', '336 Monocytes NN', '022 L5 ET CTX Glut', '326 OPC NN']	[36.22, 36.22, 38.28, 40.25, 50.92, 51.26]
18	['046 Vip Gaba']	[1.0]	046 Vip Gaba	331 Peri NN	False	['Gad2', 'Rab3c', 'Cxcl14', 'Synpr', 'Gad1']	[22.799, 21.59, 11.8, 11.56, 12.039]	[11, 19, 17, 25, 12, 10]	['006 L4/5 IT CTX Glut', '049 Lamp5 Gaba', '004 L6 IT CTX Glut', '047 Sncg Gaba', '030 L6 CT CTX Glut', '050 Lamp5 Lhx6 Gaba']	[36.35, 37.95, 39.4, 45.0, 51.54, 52.8]
